,logFC,PValue,FDR
GPLD1,-0.055,0.82,0.99
HMGN3,-0.028,0.82,0.99
HTR7P1,0.055,0.82,0.99
HYKK,-0.046,0.82,0.99
IFI30,-0.052,0.82,0.99
IGFBP2,0.046,0.82,0.99
INIP,-0.025,0.82,0.99
INSYN2A,-0.11,0.82,0.99
IPP,-0.029,0.82,0.99
KCNJ2,-0.16,0.82,0.99
KCNK6,-0.041,0.82,0.99
KIF5A,-0.1,0.82,0.99
KREMEN1,-0.033,0.82,0.99
LGALS1,0.021,0.82,0.99
LIMD1,-0.026,0.82,0.99
LNP1,-0.098,0.82,0.99
MBOAT2,-0.032,0.82,0.99
MEIOB,-0.081,0.82,0.99
METTL27,-0.047,0.82,0.99
MNAT1,-0.028,0.82,0.99
MRPL13,-0.041,0.82,0.99
MTG1,0.024,0.82,0.99
NDUFAF7,0.032,0.82,0.99
NEK3,-0.051,0.82,0.99
NNT,-0.026,0.82,0.99
NSMCE2,-0.048,0.82,0.99
P2RX5,-0.059,0.82,0.99
P4HA3,-0.034,0.82,0.99
PARP3,-0.034,0.82,0.99
PDPR,0.024,0.82,0.99
PKNOX1,-0.042,0.82,0.99
POLI,0.035,0.82,0.99
POPDC3,-0.038,0.82,0.99
PTBP3,-0.032,0.82,0.99
PTPA,0.022,0.82,0.99
PXDN,0.075,0.82,0.99
PYCR3,-0.025,0.82,0.99
RANBP17,-0.044,0.82,0.99
RARS1,0.026,0.82,0.99
RCN3,-0.083,0.82,0.99
RELB,0.033,0.82,0.99
ROM1,0.053,0.82,0.99
RPL7,0.043,0.82,0.99
RUNX3,0.046,0.82,0.99
S100A3,-0.043,0.82,0.99
SAP130,0.039,0.82,0.99
SART1,-0.038,0.82,0.99
SDHAF3,-0.038,0.82,0.99
SELENON,0.031,0.82,0.99
SEPTIN7P13,0.067,0.82,0.99
SERF1B,-0.038,0.82,0.99
SETD6,0.034,0.82,0.99
SGSM3,-0.031,0.82,0.99
SHISA5,0.03,0.82,0.99
SLC9A5,0.055,0.82,0.99
SNX18P12,-0.049,0.82,0.99
SNX18P26,-0.058,0.82,0.99
SNX18P3,-0.043,0.82,0.99
SSTR2,0.16,0.82,0.99
STAG2,0.028,0.82,0.99
STIMATE-MUSTN1,-0.062,0.82,0.99
SUGT1,0.022,0.82,0.99
TATDN1,-0.04,0.82,0.99
TBRG4,-0.034,0.82,0.99
TCEA2,0.029,0.82,0.99
TEX261,-0.028,0.82,0.99
TLCD4-RWDD3,0.093,0.82,0.99
TM4SF18,-0.037,0.82,0.99
TMEFF1,-0.19,0.82,0.99
TMEM9B,-0.019,0.82,0.99
TMX1,-0.034,0.82,0.99
TNFSF12,0.053,0.82,0.99
TNKS,0.032,0.82,0.99
TNPO1,-0.023,0.82,0.99
TOMM40,0.021,0.82,0.99
TP63,-0.082,0.82,0.99
TRIM3,-0.027,0.82,0.99
TRIM36,0.11,0.82,0.99
TRMT112,-0.029,0.82,0.99
TSPYL4,-0.049,0.82,0.99
TSSC4,-0.029,0.82,0.99
UBE2J1,0.022,0.82,0.99
UBTF,-0.021,0.82,0.99
UGGT1,-0.027,0.82,0.99
USP3,-0.025,0.82,0.99
UTS2B,0.11,0.82,0.99
WDR54,-0.025,0.82,0.99
YARS1,-0.026,0.82,0.99
ZFP91-CNTF,-0.76,0.82,0.99
ZNF470,0.065,0.82,0.99
ZNF532,-0.033,0.82,0.99
ZNF611,-0.058,0.82,0.99
ZNF670-ZNF695,-0.12,0.82,0.99
ABCB8,-0.02,0.83,0.99
ANKRD24,0.12,0.83,0.99
ARHGEF2,-0.025,0.83,0.99
ATXN7L1,0.046,0.83,0.99
BFSP1,0.039,0.83,0.99
BICC1,-0.042,0.83,0.99
BPIFB1,0.2,0.83,0.99
CACNG8,-0.047,0.83,0.99
CCDC112,0.031,0.83,0.99
CCDC124,0.023,0.83,0.99
CCDC7,-0.064,0.83,0.99
CEP120,-0.028,0.83,0.99
CEP63,0.031,0.83,0.99
CFAP206,0.11,0.83,0.99
COPB2,0.026,0.83,0.99
COX5B,0.034,0.83,0.99
CTNNBL1,0.026,0.83,0.99
DCUN1D5,0.033,0.83,0.99
description:programmed,-0.03,0.83,0.99
description:putative,-0.1,0.83,0.99
description:RAB,0.04,0.83,0.99
DHX40,-0.021,0.83,0.99
DIABLO,0.02,0.83,0.99
DLG1,0.024,0.83,0.99
DNAAF2,0.028,0.83,0.99
DNASE2,-0.024,0.83,0.99
DPP4,-0.13,0.83,0.99
DYRK2,0.026,0.83,0.99
EIF3H,-0.023,0.83,0.99
EIF3M,0.018,0.83,0.99
ESD,0.023,0.83,0.99
EXPH5,-0.087,0.83,0.99
FAM43B,0.064,0.83,0.99
FAM72C,-0.053,0.83,0.99
FAM83A,-0.054,0.83,0.99
FBLN5,-0.099,0.83,0.99
FDX1,0.028,0.83,0.99
FRG1,-0.034,0.83,0.99
GABBR1,0.045,0.83,0.99
GCDH,-0.034,0.83,0.99
GDAP2,-0.046,0.83,0.99
GK,-0.064,0.83,0.99
GMPPA,-0.029,0.83,0.99
GOT2,-0.022,0.83,0.99
GRB2,0.018,0.83,0.99
HACD3,0.019,0.83,0.99
HADHA,0.021,0.83,0.99
HES6,-0.045,0.83,0.99
HLA-C,0.018,0.83,0.99
HORMAD1,-0.038,0.83,0.99
HOXD10,0.11,0.83,0.99
IL20RB,0.071,0.83,0.99
KAT2A,-0.016,0.83,0.99
KCP,0.096,0.83,0.99
KRT4,0.086,0.83,0.99
LRRC28,0.027,0.83,0.99
LUM,0.079,0.83,0.99
LYPLAL1,-0.025,0.83,0.99
MAIP1,-0.03,0.83,0.99
MAP3K7CL,0.054,0.83,0.99
MAP7D2,-0.03,0.83,0.99
MATR3,0.03,0.83,0.99
MED21,-0.032,0.83,0.99
METAP1,0.034,0.83,0.99
MIDN,-0.025,0.83,0.99
MPZL2,-0.18,0.83,0.99
MRPL45,0.019,0.83,0.99
NDUFB7,0.042,0.83,0.99
NPHP1,-0.041,0.83,0.99
OCRL,0.024,0.83,0.99
OTUB1,0.019,0.83,0.99
P3H1,-0.026,0.83,0.99
PARVA,-0.044,0.83,0.99
PEX2,0.029,0.83,0.99
PIGC,0.028,0.83,0.99
PIGN,0.021,0.83,0.99
PLEKHM1P1,0.036,0.83,0.99
PLTP,0.093,0.83,0.99
PPARGC1A,-0.14,0.83,0.99
PRKD1,-0.046,0.83,0.99
PRRC2C,0.033,0.83,0.99
PSD,-0.067,0.83,0.99
PSMA7,-0.023,0.83,0.99
PSMC2,0.024,0.83,0.99
PTBP2,-0.038,0.83,0.99
PTP4A3,0.042,0.83,0.99
QRICH1,0.021,0.83,0.99
RAB40A,-0.1,0.83,0.99
RABGGTA,-0.031,0.83,0.99
RALGAPA1P1,-0.16,0.83,0.99
RAP1A,0.024,0.83,0.99
RBM33,0.023,0.83,0.99
REV1,-0.026,0.83,0.99
RMND1,0.033,0.83,0.99
RPL7A,0.02,0.83,0.99
RPS24,0.039,0.83,0.99
RPS6KB1,0.019,0.83,0.99
S1PR3,-0.03,0.83,0.99
SAP30,0.046,0.83,0.99
SF3B1,-0.022,0.83,0.99
SGSH,0.034,0.83,0.99
SGSM1,0.052,0.83,0.99
SKP1,0.017,0.83,0.99
SLC25A23,0.039,0.83,0.99
SLC25A3,0.021,0.83,0.99
SLC2A12,-0.067,0.83,0.99
SLC36A1,0.041,0.83,0.99
SLC39A1,0.018,0.83,0.99
SMPDL3B,0.047,0.83,0.99
SP2,0.038,0.83,0.99
SPDYE2,0.19,0.83,0.99
SRP72,-0.018,0.83,0.99
STAG3,-0.044,0.83,0.99
TEX21P,0.097,0.83,0.99
TEX22,0.099,0.83,0.99
TEX9,-0.037,0.83,0.99
TFAP2A,-0.038,0.83,0.99
TMEM131L,-0.048,0.83,0.99
TMEM39A,-0.026,0.83,0.99
TMEM68,-0.028,0.83,0.99
TNFRSF10C,0.079,0.83,0.99
TPT1,0.031,0.83,0.99
TTLL12,0.029,0.83,0.99
U2AF2,-0.016,0.83,0.99
UBE2V2,-0.021,0.83,0.99
UCP3,0.092,0.83,0.99
UQCC3,0.032,0.83,0.99
VKORC1,-0.025,0.83,0.99
WDR20,-0.025,0.83,0.99
XPO7,-0.022,0.83,0.99
YTHDF1,-0.024,0.83,0.99
ZNF132,-0.11,0.83,0.99
ZNF483,-0.041,0.83,0.99
ZNF513,0.028,0.83,0.99
ZNF557,0.045,0.83,0.99
ZNF773,-0.05,0.83,0.99
ANKRD36C,-0.065,0.84,0.99
ANXA2,0.017,0.84,0.99
APOLD1,-0.08,0.84,0.99
ARMCX1,-0.11,0.84,0.99
ATP2A3,-0.038,0.84,0.99
ATXN2L,0.028,0.84,0.99
BAIAP2L1,0.026,0.84,0.99
BCAP31,0.018,0.84,0.99
BPHL,0.031,0.84,0.99
C16orf87,-0.027,0.84,0.99
C1GALT1,-0.023,0.84,0.99
CCDC198,-0.041,0.84,0.99
CCNC,0.034,0.84,0.99
CDC123,0.027,0.84,0.99
CDH16,0.07,0.84,0.99
CLDN1,-0.022,0.84,0.99
CMPK1,-0.018,0.84,0.99
CNTLN,0.03,0.84,0.99
COPA,-0.024,0.84,0.99
COPE,-0.022,0.84,0.99
CSDC2,-0.098,0.84,0.99
CTPS2,0.027,0.84,0.99
CYC1,0.025,0.84,0.99
CYP2U1,-0.041,0.84,0.99
DCTN4,-0.022,0.84,0.99
DDI2,0.032,0.84,0.99
DDX20,0.024,0.84,0.99
DHX33,0.022,0.84,0.99
DPY19L4,-0.022,0.84,0.99
EME2,-0.026,0.84,0.99
ESS2,0.031,0.84,0.99
EXOSC1,-0.024,0.84,0.99
EXOSC5,0.027,0.84,0.99
FBXO36,-0.04,0.84,0.99
FIGN,0.048,0.84,0.99
FMN2,-0.045,0.84,0.99
FOXO6,0.11,0.84,0.99
GBAP1,-0.057,0.84,0.99
GLB1,-0.016,0.84,0.99
GLIPR2,-0.032,0.84,0.99
GPC6,0.044,0.84,0.99
GPR157,0.033,0.84,0.99
GTF2H1,0.018,0.84,0.99
HHIP,-0.071,0.84,0.99
IFT88,0.029,0.84,0.99
ISOC1,-0.026,0.84,0.99
KCND1,0.063,0.84,0.99
KHDRBS1,0.023,0.84,0.99
KIF20B,-0.02,0.84,0.99
LGR4,0.021,0.84,0.99
LRP6,-0.021,0.84,0.99
MAGOH,0.032,0.84,0.99
MAZ,0.019,0.84,0.99
MIA2,-0.021,0.84,0.99
MLLT10,-0.019,0.84,0.99
MLX,-0.019,0.84,0.99
MRPS10,-0.028,0.84,0.99
MSANTD2,-0.059,0.84,0.99
MTPN,-0.016,0.84,0.99
NAA80,0.057,0.84,0.99
NAP1L3,0.096,0.84,0.99
NEO1,0.021,0.84,0.99
NGDN,-0.025,0.84,0.99
NPM1,0.028,0.84,0.99
PDCD11,-0.026,0.84,0.99
PFDN4,-0.042,0.84,0.99
PGAM1,-0.015,0.84,0.99
PIM2,-0.042,0.84,0.99
POC1B-GALNT4,-0.11,0.84,0.99
PRNP,-0.018,0.84,0.99
PRPF38A,0.029,0.84,0.99
PRR3,0.026,0.84,0.99
PSME1,-0.031,0.84,0.99
PURB,0.019,0.84,0.99
PYROXD1,0.026,0.84,0.99
RAET1E,0.037,0.84,0.99
RALGAPB,0.024,0.84,0.99
RELL2,0.041,0.84,0.99
RFX2,-0.043,0.84,0.99
RHBDD2,0.023,0.84,0.99
RPL31,0.045,0.84,0.99
RPS6KA5,0.05,0.84,0.99
RRAGB,0.028,0.84,0.99
RRS1,0.031,0.84,0.99
SEPTIN11,-0.027,0.84,0.99
SFTPB,-0.087,0.84,0.99
SLC10A3,-0.023,0.84,0.99
SLC25A32,-0.018,0.84,0.99
SLC35A5,-0.022,0.84,0.99
SLC7A8,-0.11,0.84,0.99
SLCO4A1,0.057,0.84,0.99
SMIM14,0.025,0.84,0.99
SMU1,-0.023,0.84,0.99
SNX22,0.075,0.84,0.99
SOX13,-0.045,0.84,0.99
SYMPK,-0.02,0.84,0.99
TAF6,-0.023,0.84,0.99
TEAD4,-0.024,0.84,0.99
TECR,-0.027,0.84,0.99
THOC2,0.024,0.84,0.99
TMEM45A,0.027,0.84,0.99
TRIM69,0.028,0.84,0.99
TRNT1,0.02,0.84,0.99
TTC3P1,-0.095,0.84,0.99
TYW3,-0.023,0.84,0.99
UBXN2B,-0.026,0.84,0.99
WNT3,0.029,0.84,0.99
ZBED4,0.027,0.84,0.99
ZBTB18,-0.029,0.84,0.99
ZCCHC4,-0.056,0.84,0.99
ZFC3H1,0.024,0.84,0.99
ZG16B,0.096,0.84,0.99
ZNF587,0.029,0.84,0.99
ZNF609,0.035,0.84,0.99
ZNF70,0.055,0.84,0.99
ZSCAN30,0.059,0.84,0.99
ADAMTS8,-0.12,0.85,0.99
ADNP2,0.018,0.85,0.99
ALKBH2,-0.026,0.85,0.99
APEX1,0.019,0.85,0.99
ASNSD1,0.028,0.85,0.99
ATP5MJ,0.037,0.85,0.99
ATP8B1,0.023,0.85,0.99
BCCIP,0.021,0.85,0.99
BECN1,-0.02,0.85,0.99
BTN3A1,0.037,0.85,0.99
C1orf174,-0.028,0.85,0.99
C22orf46,-0.046,0.85,0.99
CCDC170,-0.083,0.85,0.99
CCNB1IP1,-0.025,0.85,0.99
CCT6P1,-0.038,0.85,0.99
CDK13,0.023,0.85,0.99
CDON,0.048,0.85,0.99
CEP57L1,0.029,0.85,0.99
CIBAR1,-0.037,0.85,0.99
CNOT3,0.03,0.85,0.99
COG4,0.018,0.85,0.99
CROCCP3,-0.057,0.85,0.99
CTDSPL2,0.022,0.85,0.99
DENND4A,0.03,0.85,0.99
description:nuclear,-0.12,0.85,0.99
description:ubiquitin-conjugating,0.053,0.85,0.99
DGKZ,-0.019,0.85,0.99
EHHADH,-0.043,0.85,0.99
EML1,0.029,0.85,0.99
EOLA1,-0.025,0.85,0.99
FAM234A,-0.025,0.85,0.99
FRG1JP,0.061,0.85,0.99
FTSJ3,-0.025,0.85,0.99
GAL,0.071,0.85,0.99
GALNT12,0.031,0.85,0.99
GINM1,0.02,0.85,0.99
GMDS,0.038,0.85,0.99
GNA11,-0.016,0.85,0.99
HEATR3,0.023,0.85,0.99
HIKESHI,0.021,0.85,0.99
HILPDA,-0.027,0.85,0.99
HOOK1,0.094,0.85,0.99
HOXB8,0.043,0.85,0.99
IGFBP4,0.036,0.85,0.99
KIAA2013,-0.024,0.85,0.99
KISS1R,0.094,0.85,0.99
KRT87P,-0.039,0.85,0.99
LARP7,-0.034,0.85,0.99
LASP1,0.024,0.85,0.99
LRRCC1,-0.044,0.85,0.99
MACROH2A1,-0.014,0.85,0.99
MAP2K6,-0.032,0.85,0.99
MED19,-0.023,0.85,0.99
MGAM,0.068,0.85,0.99
MRPL19,0.019,0.85,0.99
MT-ND1,0.064,0.85,0.99
MYH15,0.11,0.85,0.99
NDUFB4,0.017,0.85,0.99
NEDD4L,0.022,0.85,0.99
NMD3,0.023,0.85,0.99
NOVA1,0.042,0.85,0.99
NPIPA1,0.02,0.85,0.99
NUCB1,-0.02,0.85,0.99
NUDCD2,0.027,0.85,0.99
ORAI1,0.027,0.85,0.99
OSTF1,-0.036,0.85,0.99
OXLD1,0.039,0.85,0.99
PABPN1,-0.017,0.85,0.99
PARP11,0.047,0.85,0.99
PCGF3,0.021,0.85,0.99
PCYT2,-0.022,0.85,0.99
PDPR2P,0.044,0.85,0.99
PELP1,-0.026,0.85,0.99
PFDN6,-0.024,0.85,0.99
PHB,-0.024,0.85,0.99
PHF3,0.022,0.85,0.99
PHRF1,0.021,0.85,0.99
POC1B,-0.033,0.85,0.99
PRKCSH,0.021,0.85,0.99
PRRX2,-0.051,0.85,0.99
PTPN12,0.019,0.85,0.99
RAPH1,0.034,0.85,0.99
RMND5B,-0.025,0.85,0.99
RND3,0.024,0.85,0.99
RNF168,-0.027,0.85,0.99
RNF169,-0.026,0.85,0.99
RPL23AP7,-0.037,0.85,0.99
RPRD1A,0.021,0.85,0.99
RRP1B,0.028,0.85,0.99
RTN4IP1,0.032,0.85,0.99
S100A9,0.092,0.85,0.99
SAAL1,0.026,0.85,0.99
SAMD5,0.057,0.85,0.99
SAP18,-0.02,0.85,0.99
SENP6,-0.019,0.85,0.99
SGCB,0.023,0.85,0.99
SH3GL1P1,0.092,0.85,0.99
SLX1B,0.14,0.85,0.99
SMIM15,-0.016,0.85,0.99
SNRPD2,-0.023,0.85,0.99
SNX21,-0.035,0.85,0.99
SNX25,0.034,0.85,0.99
SPATA2L,-0.036,0.85,0.99
SSR4P1,0.087,0.85,0.99
STARD7,0.017,0.85,0.99
SUMO1,-0.016,0.85,0.99
TDRD7,0.02,0.85,0.99
TEFM,0.031,0.85,0.99
TMEM123,0.023,0.85,0.99
TMEM130,-0.07,0.85,0.99
TMEM169,-0.061,0.85,0.99
TMEM221,-0.073,0.85,0.99
TMF1,-0.019,0.85,0.99
TMTC3,-0.021,0.85,0.99
TP53,-0.025,0.85,0.99
TWIST1,-0.068,0.85,0.99
TXNRD2,-0.017,0.85,0.99
UCN,0.078,0.85,0.99
USP19,-0.019,0.85,0.99
XKRX,-0.11,0.85,0.99
ZNF101,-0.033,0.85,0.99
ZNF343,-0.041,0.85,0.99
AACS,-0.023,0.86,0.99
ACAD11,-0.025,0.86,0.99
ADNP,0.016,0.86,0.99
AGAP1,0.024,0.86,0.99
AHCYL1,0.021,0.86,0.99
ALKBH4,0.03,0.86,0.99
ARL4A,-0.026,0.86,0.99
ATP1B3,-0.017,0.86,0.99
AVIL,0.087,0.86,0.99
BCL7C,-0.032,0.86,0.99
BPGM,0.025,0.86,0.99
C1orf109,-0.021,0.86,0.99
C4orf3,0.023,0.86,0.99
CAD,0.019,0.86,0.99
CCDC142,-0.026,0.86,0.99
CD82,-0.04,0.86,0.99
CDKL5,0.046,0.86,0.99
CDYL2,-0.15,0.86,0.99
CEBPG,-0.016,0.86,0.99
CENPBD1,-0.032,0.86,0.99
CNOT6,0.026,0.86,0.99
CRABP1,-0.078,0.86,0.99
CXXC5,0.031,0.86,0.99
CYBRD1,0.019,0.86,0.99
DAZAP2,0.017,0.86,0.99
DBI,-0.028,0.86,0.99
DDA1,-0.015,0.86,0.99
description:pseudogene,0.029,0.86,0.99
DFFA,0.014,0.86,0.99
DLX1,-0.052,0.86,0.99
DMTF1,-0.021,0.86,0.99
DTD2,-0.021,0.86,0.99
DUXAP9,-0.028,0.86,0.99
DYNC2I1,0.026,0.86,0.99
ESYT3,-0.065,0.86,0.99
ETHE1,0.025,0.86,0.99
FAM133A,-0.045,0.86,0.99
FAM204A,-0.019,0.86,0.99
FARSB,-0.026,0.86,0.99
FGF12,-0.1,0.86,0.99
FLAD1,-0.019,0.86,0.99
FN3K,-0.037,0.86,0.99
FSD2,-0.049,0.86,0.99
GDPD1,-0.044,0.86,0.99
GDPD3,-0.13,0.86,0.99
GLRX3,0.018,0.86,0.99
GOLGB1,0.021,0.86,0.99
GPBP1L1,-0.021,0.86,0.99
GPRIN1,0.025,0.86,0.99
H2AJ,-0.021,0.86,0.99
H4-16,-0.067,0.86,0.99
HOXA10,0.03,0.86,0.99
HSD3B7,-0.028,0.86,0.99
HSPA4L,0.017,0.86,0.99
IFI27,0.1,0.86,0.99
KAT14,-0.019,0.86,0.99
KLF5,0.02,0.86,0.99
KLHL13,0.057,0.86,0.99
LENG8,0.028,0.86,0.99
MAP3K8,-0.052,0.86,0.99
MED4,0.02,0.86,0.99
MGAT1,-0.02,0.86,0.99
MIF4GD,0.023,0.86,0.99
MPC1,-0.055,0.86,0.99
MRPL23,0.02,0.86,0.99
MYO1E,-0.029,0.86,0.99
NOP14,0.022,0.86,0.99
NR1H2,-0.015,0.86,0.99
NUMA1,-0.017,0.86,0.99
PARP10,-0.063,0.86,0.99
PCNX1,0.025,0.86,0.99
PELO,-0.02,0.86,0.99
PIK3R3,0.039,0.86,0.99
PIP4K2A,0.029,0.86,0.99
PLEKHG1,-0.08,0.86,0.99
PLOD2,-0.018,0.86,0.99
PMM1,-0.026,0.86,0.99
PMM2,-0.019,0.86,0.99
POLR1D,-0.016,0.86,0.99
POLR2H,0.022,0.86,0.99
POLR3F,-0.022,0.86,0.99
PRKAG1,-0.023,0.86,0.99
PSMB4,-0.014,0.86,0.99
PTPN9,0.02,0.86,0.99
RBM10,0.018,0.86,0.99
RGS2,0.034,0.86,0.99
RPL21,-0.024,0.86,0.99
RPL23AP53,-0.066,0.86,0.99
RPL36,0.02,0.86,0.99
RRP9,0.026,0.86,0.99
RSPH9,0.092,0.86,0.99
RUFY2,-0.022,0.86,0.99
SGSM2,-0.022,0.86,0.99
SH3BGR,-0.088,0.86,0.99
SLAIN2,0.022,0.86,0.99
SLC46A1,-0.02,0.86,0.99
SLC4A5,-0.096,0.86,0.99
SLCO3A1,0.027,0.86,0.99
SMYD3,0.036,0.86,0.99
SNRPD1,-0.022,0.86,0.99
SPATA6L,0.042,0.86,0.99
SPRY1,0.065,0.86,0.99
STT3B,-0.02,0.86,0.99
TAMALIN,-0.11,0.86,0.99
TAP2,-0.024,0.86,0.99
TBCCD1,-0.034,0.86,0.99
TCHH,0.11,0.86,0.99
TCP1,0.023,0.86,0.99
TEP1,-0.021,0.86,0.99
TFG,0.02,0.86,0.99
THAP8,-0.038,0.86,0.99
TLN2,-0.033,0.86,0.99
TMEM101,0.023,0.86,0.99
TMEM109,-0.02,0.86,0.99
TPK1,0.072,0.86,0.99
TRPM8,0.089,0.86,0.99
TSSK6,-0.076,0.86,0.99
TXLNA,-0.017,0.86,0.99
UBE3C,0.02,0.86,0.99
USP6NL,0.023,0.86,0.99
WAPL,-0.018,0.86,0.99
YAF2,0.02,0.86,0.99
YIPF6,-0.016,0.86,0.99
ZNF112,-0.045,0.86,0.99
ZNF181,-0.036,0.86,0.99
ZNF239,-0.068,0.86,0.99
ZNF525,-0.073,0.86,0.99
ACTR1B,0.017,0.87,0.99
ALAD,-0.018,0.87,0.99
ALDOA,0.016,0.87,0.99
AQR,-0.021,0.87,0.99
ARHGAP1,0.027,0.87,0.99
ARHGAP29,0.023,0.87,0.99
"14,00 ARL",0.078,0.87,0.99
ARPC1A,-0.024,0.87,0.99
ASTN2,-0.027,0.87,0.99
ATAD3B,0.087,0.87,0.99
ATF6,-0.015,0.87,0.99
ATXN7,-0.022,0.87,0.99
C12orf43,-0.023,0.87,0.99
C1orf21,-0.051,0.87,0.99
C1orf35,-0.018,0.87,0.99
CAMK1D,-0.029,0.87,0.99
CASP1,0.097,0.87,0.99
CBWD2,0.024,0.87,0.99
CDKN2D,0.041,0.87,0.99
CHRAC1,-0.018,0.87,0.99
CIART,0.1,0.87,0.99
CLGN,0.021,0.87,0.99
CWC27,-0.018,0.87,0.99
DMAC1,0.033,0.87,0.99
DPP7,0.022,0.87,0.99
ECHDC1,0.015,0.87,0.99
EIF2S3,0.021,0.87,0.99
EPHA6,-0.072,0.87,0.99
ERBIN,0.019,0.87,0.99
FBXO16,0.055,0.87,0.99
GIT2,0.024,0.87,0.99
GJB1,0.044,0.87,0.99
GPATCH4,-0.03,0.87,0.99
HEATR6,0.02,0.87,0.99
HIRA,0.022,0.87,0.99
HLA-H,0.075,0.87,0.99
HNRNPDL,0.015,0.87,0.99
HOGA1,-0.04,0.87,0.99
HOOK3,0.02,0.87,0.99
IGFBP6,0.022,0.87,0.99
IMPA1,-0.023,0.87,0.99
KIF3B,-0.019,0.87,0.99
LBR,-0.016,0.87,0.99
LCN2,0.07,0.87,0.99
LMLN,-0.047,0.87,0.99
MBLAC2,0.031,0.87,0.99
MEIG1,0.067,0.87,0.99
MFSD5,0.017,0.87,0.99
MRPL53,-0.024,0.87,0.99
MRPS18C,-0.029,0.87,0.99
MTFP1,-0.031,0.87,0.99
MTND1P23,0.14,0.87,0.99
MYH3,-0.067,0.87,0.99
NBN,-0.014,0.87,0.99
NELFB,-0.017,0.87,0.99
NETO2,0.013,0.87,0.99
NIP7,-0.014,0.87,0.99
NLRC5,-0.045,0.87,0.99
NOP2,0.018,0.87,0.99
NPRL2,0.022,0.87,0.99
PARP9,-0.03,0.87,0.99
PCSK6,-0.03,0.87,0.99
PGM3,-0.019,0.87,0.99
PIK3C3,0.017,0.87,0.99
PIP,0.11,0.87,0.99
PJA2,0.018,0.87,0.99
PKD2,-0.02,0.87,0.99
PKM,-0.015,0.87,0.99
PLS3,0.017,0.87,0.99
PMF1,0.018,0.87,0.99
POLR2M,-0.017,0.87,0.99
POU6F2,0.078,0.87,0.99
PRDX6,0.022,0.87,0.99
PRIM2,-0.024,0.87,0.99
PRKD2,-0.028,0.87,0.99
PRPF38B,0.018,0.87,0.99
PRPF40A,-0.02,0.87,0.99
PSMA2,0.029,0.87,0.99
PSMC5,-0.021,0.87,0.99
RALA,-0.018,0.87,0.99
RCBTB1,0.026,0.87,0.99
RHOA,-0.02,0.87,0.99
RNASEH2C,0.029,0.87,0.99
RNF123,0.018,0.87,0.99
RPL22,0.02,0.87,0.99
RPS3A,0.034,0.87,0.99
S100A16,-0.016,0.87,0.99
SCAF4,0.024,0.87,0.99
SCAMP1,0.018,0.87,0.99
SCO2,0.03,0.87,0.99
SDF4,-0.014,0.87,0.99
SEC16A,-0.022,0.87,0.99
SF3B5,-0.026,0.87,0.99
SLC25A43,-0.016,0.87,0.99
SLC35E2A,0.039,0.87,0.99
SLTM,-0.024,0.87,0.99
SPCS2,-0.019,0.87,0.99
STEEP1,-0.02,0.87,0.99
SYCE1L,0.054,0.87,0.99
TAF4,0.026,0.87,0.99
TBC1D10B,0.026,0.87,0.99
TMEM168,0.02,0.87,0.99
TMEM198,-0.058,0.87,0.99
TMEM53,-0.035,0.87,0.99
TNFRSF21,-0.034,0.87,0.99
TUBGCP4,0.033,0.87,0.99
UBE3B,0.028,0.87,0.99
UBTD2,-0.017,0.87,0.99
WNK1,0.032,0.87,0.99
ZBTB1,-0.017,0.87,0.99
ZDHHC9,-0.019,0.87,0.99
ZNF212,0.029,0.87,0.99
ZNF32,-0.028,0.87,0.99
ZNF784,0.025,0.87,0.99
ZNF827,-0.038,0.87,0.99
ZSCAN18,0.052,0.87,0.99
AASDHPPT,-0.018,0.88,0.99
ABHD16B,0.043,0.88,0.99
ADAM19,0.027,0.88,0.99
ADAMTSL4,0.044,0.88,0.99
AFF1,-0.025,0.88,0.99
AHSA2P,0.018,0.88,0.99
ALDH1L2,0.029,0.88,0.99
ALG10,0.033,0.88,0.99
ALKBH6,-0.018,0.88,0.99
ANKMY2,-0.017,0.88,0.99
ANXA2R,-0.054,0.88,0.99
AP2S1,-0.017,0.88,0.99
APMAP,-0.012,0.88,0.99
APOOL,0.021,0.88,0.99
ARHGAP31,-0.055,0.88,0.99
ARHGEF12,0.021,0.88,0.99
ATG10,0.024,0.88,0.99
BCL7A,-0.024,0.88,0.99
BTRC,0.024,0.88,0.99
C1orf159,-0.025,0.88,0.99
C3orf62,0.038,0.88,0.99
CCNT1,0.019,0.88,0.99
CEACAM1,0.038,0.88,0.99
CLOCK,0.023,0.88,0.99
COL1A1,-0.041,0.88,0.99
COMMD1,-0.021,0.88,0.99
COX17,0.027,0.88,0.99
CRCP,0.014,0.88,0.99
CUX1,-0.016,0.88,0.99
CYP4F35P,0.056,0.88,0.99
DDX60,0.041,0.88,0.99
EIF3G,-0.018,0.88,0.99
EMC8,0.014,0.88,0.99
EML6,-0.044,0.88,0.99
ENO1,0.013,0.88,0.99
FAM227A,-0.033,0.88,0.99
FKBP3,0.02,0.88,0.99
FOXD1,-0.036,0.88,0.99
GATA4,0.043,0.88,0.99
GLUD1P3,-0.076,0.88,0.99
GPALPP1,-0.02,0.88,0.99
GPR161,-0.02,0.88,0.99
GPRASP1,0.068,0.88,0.99
HDGF,0.012,0.88,0.99
IQCK,0.03,0.88,0.99
ITPR1,-0.029,0.88,0.99
